title,sent_id,sentence
AirAsia Zest,0,"Zest Airways, Inc. operated as AirAsia Zest (formerly Asian Spirit and Zest Air), was a low - cost airline based at the Ninoy Aquino International Airport in Pasay City, Metro Manila in the Philippines."
AirAsia Zest,1,"It operated scheduled domestic and international tourist services, mainly feeder services linking Manila and Cebu with 24 domestic destinations in support of the trunk route operations of other airlines."
AirAsia Zest,2,"In 2013, the airline became an affiliate of Philippines AirAsia operating their brand separately."
AirAsia Zest,3,"Its main base was Ninoy Aquino International Airport, Manila."
AirAsia Zest,4,"The airline was founded as Asian Spirit, the first airline in the Philippines to be run as a cooperative."
AirAsia Zest,5,"On August 16, 2013, the Civil Aviation Authority of the Philippines (CAAP), the regulating body of the Government of the Republic of the Philippines for civil aviation, suspended Zest Air flights until further notice because of safety issues."
AirAsia Zest,6,"Less than a year after AirAsia and Zest Air's strategic alliance, the airline has been rebranded as AirAsia Zest."
AirAsia Zest,7,The airline was merged into AirAsia Philippines in January 2016.
Short-beaked common dolphin,0,The short - beaked common dolphin (Delphinus delphis) is a species of common dolphin.
Short-beaked common dolphin,1,"It has a larger range than the long - beaked common dolphin (D. capensis), occurring throughout warm - temperate and tropical oceans, including the Indian Ocean although in smaller quantities than other places they are found."
Short-beaked common dolphin,2,There are more short - beaked common dolphins than any other dolphin species in the warm - temperate portions of the Atlantic and Pacific Oceans.
Short-beaked common dolphin,3,It is also found in the Caribbean and Mediterranean Seas.
Short-beaked common dolphin,4,"The short - beaked common dolphin is also abundant in the Black Sea, Gulf of Mexico, and Red Sea."
Short-beaked common dolphin,5,They follow the gulf stream up to Norwegian waters.
Short-beaked common dolphin,6,Seldom do any short - beaked dolphin venture near the Arctic.
Niklas Bergqvist,0,"Niklas Bergqvist (born 6 October 1962 in Stockholm), is a Swedish songwriter, producer and musician."
Niklas Bergqvist,1,"His career started in 1984, as a founding member of the Synthpop band Shanghai, which he started along his school friends."
Niklas Bergqvist,2,"The band released two albums and numerous singles, with their debut single "" Ballerina "", produced by former Europe guitarist Kee Marcello."
Niklas Bergqvist,3,"Following the success of the single, the album also gained positive attention, resulting in the band touring around Sweden."
